Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2025,2025-01-01,08021,Residencial,De 18:00:00 a 23:59:59 h,46394
2025,2025-01-01,08021,Residencial,No consta,0
2025,2025-01-01,08021,Serveis,De 00:00:00 a 05:59:59 h,19369
2025,2025-01-01,08021,Serveis,De 06:00:00 a 11:59:59 h,20760
2025,2025-01-01,08021,Serveis,De 12:00:00 a 17:59:59 h,23716
2025,2025-01-01,08021,Serveis,De 18:00:00 a 23:59:59 h,23183
2025,2025-01-01,08021,Serveis,No consta,0
2025,2025-01-01,08022,Indústria,De 00:00:00 a 05:59:59 h,590
2025,2025-01-01,08022,Indústria,De 06:00:00 a 11:59:59 h,641
2025,2025-01-01,08022,Indústria,De 12:00:00 a 17:59:59 h,752
2025,2025-01-01,08022,Indústria,De 18:00:00 a 23:59:59 h,1050
2025,2025-01-01,08022,Indústria,No consta,0
2025,2025-01-01,08022,Residencial,De 00:00:00 a 05:59:59 h,17611
2025,2025-01-01,08022,Residencial,De 06:00:00 a 11:59:59 h,21519
2025,2025-01-01,08022,Residencial,De 12:00:00 a 17:59:59 h,28367
2025,2025-01-01,08022,Residencial,De 18:00:00 a 23:59:59 h,29809
2025,2025-01-01,08022,Residencial,No consta,0
2025,2025-01-01,08022,Serveis,De 00:00:00 a 05:59:59 h,18101
2025,2025-01-01,08022,Serveis,De 06:00:00 a 11:59:59 h,22357
2025,2025-01-01,08022,Serveis,De 12:00:00 a 17:59:59 h,24442
2025,2025-01-01,08022,Serveis,De 18:00:00 a 23:59:59 h,22200
2025,2025-01-01,08022,Serveis,No consta,0
2025,2025-01-01,08023,Indústria,De 00:00:00 a 05:59:59 h,139
2025,2025-01-01,08023,Indústria,De 06:00:00 a 11:59:59 h,184
2025,2025-01-01,08023,Indústria,De 12:00:00 a 17:59:59 h,222
2025,2025-01-01,08023,Indústria,De 18:00:00 a 23:59:59 h,200
2025,2025-01-01,08023,Indústria,No consta,0
2025,2025-01-01,08023,Residencial,De 00:00:00 a 05:59:59 h,31631
2025,2025-01-01,08023,Residencial,De 06:00:00 a 11:59:59 h,38705
2025,2025-01-01,08023,Residencial,De 12:00:00 a 17:59:59 h,53714
2025,2025-01-01,08023,Residencial,De 18:00:00 a 23:59:59 h,56555
2025,2025-01-01,08023,Residencial,No consta,0
2025,2025-01-01,08023,Serveis,De 00:00:00 a 05:59:59 h,22910
2025,2025-01-01,08023,Serveis,De 06:00:00 a 11:59:59 h,25278
2025,2025-01-01,08023,Serveis,De 12:00:00 a 17:59:59 h,26755
2025,2025-01-01,08023,Serveis,De 18:00:00 a 23:59:59 h,26095
2025,2025-01-01,08023,Serveis,No consta,0
2025,2025-01-01,08024,Indústria,De 00:00:00 a 05:59:59 h,1551
2025,2025-01-01,08024,Indústria,De 06:00:00 a 11:59:59 h,1616
2025,2025-01-01,08024,Indústria,De 12:00:00 a 17:59:59 h,1695
2025,2025-01-01,08024,Indústria,De 18:00:00 a 23:59:59 h,1646
2025,2025-01-01,08024,Indústria,No consta,0
2025,2025-01-01,08024,Residencial,De 00:00:00 a 05:59:59 h,49782
2025,2025-01-01,08024,Residencial,De 06:00:00 a 11:59:59 h,63439
2025,2025-01-01,08024,Residencial,De 12:00:00 a 17:59:59 h,89627
2025,2025-01-01,08024,Residencial,De 18:00:00 a 23:59:59 h,92394
2025,2025-01-01,08024,Residencial,No consta,0
2025,2025-01-01,08024,Serveis,De 00:00:00 a 05:59:59 h,29028
2025,2025-01-01,08024,Serveis,De 06:00:00 a 11:59:59 h,33124
2025,2025-01-01,08024,Serveis,De 12:00:00 a 17:59:59 h,39289
2025,2025-01-01,08024,Serveis,De 18:00:00 a 23:59:59 h,36236
2025,2025-01-01,08024,Serveis,No consta,0
2025,2025-01-01,08025,Indústria,De 00:00:00 a 05:59:59 h,608
2025,2025-01-01,08025,Indústria,De 06:00:00 a 11:59:59 h,1169
2025,2025-01-01,08025,Indústria,De 12:00:00 a 17:59:59 h,1016
2025,2025-01-01,08025,Indústria,De 18:00:00 a 23:59:59 h,792
2025,2025-01-01,08025,Indústria,No consta,0
2025,2025-01-01,08025,Residencial,De 00:00:00 a 05:59:59 h,26632
2025,2025-01-01,08025,Residencial,De 06:00:00 a 11:59:59 h,33220
2025,2025-01-01,08025,Residencial,De 12:00:00 a 17:59:59 h,46800
2025,2025-01-01,08025,Residencial,De 18:00:00 a 23:59:59 h,48836
2025,2025-01-01,08025,Residencial,No consta,0
2025,2025-01-01,08025,Serveis,De 00:00:00 a 05:59:59 h,32598
2025,2025-01-01,08025,Serveis,De 06:00:00 a 11:59:59 h,38448
2025,2025-01-01,08025,Serveis,De 12:00:00 a 17:59:59 h,41777
2025,2025-01-01,08025,Serveis,De 18:00:00 a 23:59:59 h,39770
2025,2025-01-01,08025,Serveis,No consta,0
2025,2025-01-01,08026,Indústria,De 00:00:00 a 05:59:59 h,195
2025,2025-01-01,08026,Indústria,De 06:00:00 a 11:59:59 h,245
2025,2025-01-01,08026,Indústria,De 12:00:00 a 17:59:59 h,272
2025,2025-01-01,08026,Indústria,De 18:00:00 a 23:59:59 h,246
2025,2025-01-01,08026,Indústria,No consta,0
2025,2025-01-01,08026,Residencial,De 00:00:00 a 05:59:59 h,26557
2025,2025-01-01,08026,Residencial,De 06:00:00 a 11:59:59 h,32863
2025,2025-01-01,08026,Residencial,De 12:00:00 a 17:59:59 h,47181
2025,2025-01-01,08026,Residencial,De 18:00:00 a 23:59:59 h,50804
2025,2025-01-01,08026,Residencial,No consta,0
2025,2025-01-01,08026,Serveis,De 00:00:00 a 05:59:59 h,17781
